Audioasyl,http://stream.audioasyl.net:8000/audioasyl
RinseFM,http://206.189.117.157:8000/stream
Stadtfilter,http://stream3.stadtfilter.net:8406/stadtfilter.mp3
RaBe,http://stream.rabe.ch/livestream/rabe-mid.mp3
LoRa,http://livestream.lora.ch/lora.mp3
RadioX,http://mp3.radiox.ch/standard.mp3
SubFM,http://subfm.radioca.st/Sub.FM
OpenBroadcast,http://stream.openbroadcast.org/openbroadcast
Lounge-Radio,http://fr1.streamhosting.ch:80/lounge128.ogg
DubstepFM,http://stream.dubstep.fm:80/256aac
Kingston12,http://198.57.187.102:8080/kingston12
RadioSwissJazz,http://stream.srg-ssr.ch/m/rsj/aacp_96
RadioSwissClassic,http://stream.srg-ssr.ch/m/rsc_de/aacp_96
Iceradio,http://www.iceradio.net:8000/listen
EBM-Radio,http://ebm-radio.org:9000/ebm.ogg
RainwaveChiptune,http://relay-ams.gameowls.com:8000/chiptune.ogg
WJZZRadio,http://streaming316.radionomy.com:80/wjzz-radio
Weirdos-FM,http://stream.p-node.org:80/vocoder.mp3
UkObsession,http://streaming316.radionomy.com:80/ukobsessionfm
EXER-Radio,http://pmr.rs:8000/exer
RadioCristal,http://stream.inovacast.net:8888/save
HYPE-FM,http://hfm.volna.top:80/HypeFM
KaaosRadio,http://stream.kaaosradio.fi:8000/chill
IndradyumnaSwamiRadio,http://ids-radio.com:8000/128K
HollywoodCandlelightAndWine,http://streaming316.radionomy.com:80/HOLLYWOODCANDLELIGHTANDWINE_64.aac
